MATH WORDS	Meaning Clarifications (word cullers)	Publisher-Identified vocabulary?       (SLF)	Part of speech (SLF)	Definition (Layla)	Source of definition (Layla) [NOTE: Frequently we used the definition for kids or for ELs from MW online]	Word form used to generate the stems (Xing)	Stem or stems used to generate the computer version of the sub-bank (Xing)	POSSIBLE PARTS OF SPEECH from WordNet (Xing)	"POLYSEMY COUNT from WordNet, according to different part of speech (Xing)"	MATH TEXTS GRADE LEVEL(S) (Xing)	MATH DISPERSION # math sources containing this word (Xing)	CONCRETENESS VS. ABSTRACTION from WordNet (Xing)	WORD FREQUENCY from Zeno corpus (Kelly)	MORPHOLOGICAL FAMILY FREQUENCY from Zeno corpus (Xing)	In Coxhead List?  2=yes--head word; 1=variant; 0=no (Katherine)	"When this word is a variant of a Coxhead head word, what's the head word? (Katherine)"	SPANISH-ENGLISH WORD RELATIONSHIP  [borrowed; cognate; false cognate; not cognate]   (Alyssa)	The Spanish cognate word (Alyssa)	Is this a math content word?  [0=no; 1=yes] (Zoe)	"Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core math standards  (excludes discussions, overviews, & maybe calculus standards?).  8 algebra 1 standards appear at the end of the lists.                                             [grade.standard; 8A (8th grade algebra 1).standard; or HS (high school).standard]        (Zoe)"	Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core ELA standards (Zoe)	"When the word (either a math content word or a word in AWL) is in a 4th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 4th grade content domain in the standards, list subject and specific standard designation"	"When the word (either a math content word or a word in AWL) is in a 5th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 5th grade content domain in the standards, list subject and specific standard designation "		COMBINED SCIENCE & MATH DRAFT GRADE LEVEL(S) (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION       A list of all the subject sub-banks with this word (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION Number of subject sub-banks that the word appears in (Xing)	COMBINED SCIENCE & MATH DRAFT SOURCE DISPERSION Total number of sources the word appears in (Xing)
derivation		no	noun	a sequence of statements (as in logic or mathematics) showing that a result is a necessary consequence of previously accepted statements	MW online	derivation	deriv	noun	8	4	1	concrete	0.2243	22.5421	1	derive	cognate	derivación	1	"6.G ,7.G "	NOT PRESENT						4	math	1	1
derive		no	verb	to arrive at by reasoning and observation--to deduce	MW online	derive	deriv	verb	5	5	2	n/a	3	22.5421	2		cognate	derivar	1	"5.G ,8.EE ,HS.A-SSE ,HS.A-REI ,HS.G-SRT ,HS.G-C ,HS.G-GE ,8A.A "	NOT PRESENT			Math: 5.G - Classify two-dimensional figures into categories based on their properties (6)			5	math	1	2
deriving		no	verb	to arrive at by reasoning and observation--to deduce	MW online	deriving	deriv	noun	1	4	2	abstract	0.4915	22.5421	1	derive	cognate	que se derivan	1	NOT PRESENT	NOT PRESENT						4	math	1	2
destroyed		no	verb	"to ruin the structure, organic existence, or condition of"	MW online	destroy	destroi	adjective	2	4 & 5	2	n/a	42	80	0		cognate	destruido	0								4 & 5	math & science	2	3
destructive		no	adjective	designed or tending to hurt or destroy 	MW online	destructive	destruct	adjective	1	4	1	n/a	9	24.741	0		cognate	destructivo	0								4	math	1	1
determine		no	verb	"to find out or come to a decision by investigation, reasoning, or calculation"	MW online	determine	determin	verb	8	4 & 5	3	n/a	66	175.6382	0		cognate	determinar	1	"1.OA ,2.OA ,2.MD ,3.OA ,4.OA ,6.EE ,6.G ,7.EE ,7.G ,7.S ,8.EE ,8.G ,HS.N-VM ,HS.F-TF ,HS.G-GMD ,HS.S-C ,8A.A ,8A.F ,8A.G ,8A.CVA END"	"Kindergarten Language Standards,Grade 1 Reading Standards for Informational Text,Grade 1 Reading Standards: Foundational Skills,Grade 1 Language Standards,Grade 2 Reading Standards for Literature,Grade 2 Reading Standards for Informational Text,Grade 2 Language Standards,Grade 3 Reading Standards for Literature,Grade 3 Reading Standards for Informational Text,Grade 3 Speaking and Listening Standards,Grade 3 Language Standards,Grade 4 Reading Standards for Literature,Grade 4 Reading Standards for Informational Text,Grade 4 Language Standards,Grade 5 Reading Standards for Literature,Grade 5 Reading Standards for Informational Text,Grade 5 Language Standards,Grade 6 Reading Standards for Literature,Grade 6 Reading Standards for Informational Texts,Grade 6 Language Standards,Grade 7 Reading Standards for Literature,Grade 7 Reading Standards for Informational Texts,Grade 7 Language Standards,Grade 8 Reading Standards for Literature,Grade 8 Reading Standards for Informational Text,Grade 8 Language Standards,Grades 9-10 Reading Standards for Literature,Grades 9-10 Reading Standards for Informational Text,Grades 9-10 Language Standards,Grades 11-12 Reading Standards for Literature,Grades 11-12 Reading Standards for Informational Text,Grades 11-12 Speaking and Listening Standards,Grades 6-8 Reading Standards for Literacy in History/Social Studies,Grades 6-8 Reading Standards for Literacy in Science and Technical Subjects,Grades 9-10 Reading Standards for Literacy in History/Social Studies,Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects,Grades 11-12 Reading Standards for Literacy in History/Social Studies,Grades 11-12 Reading Standards for Literacy in Science and Technical Subjects"	"Math: 4.OA Gain familiarity with factors and multiples (4); ELA:Grade 4 Reading Standards for Literature - Key Ideas and Details (2),Grade 4 Reading Standards for Literature - Craft and Structure (4),Grade 4 Reading Standards for Informational Texts - Key Ideas and Details (2),Grade 4 Reading Standards for Informational Texts - Craft and Structure (4),Grade 4 Language Standards - Knowledge of Language (4)"		"ELA: Grade 5 Reading Standards for Literature - Key Ideas and Details (2),Grade 5 Reading Standards for Literature - Craft and Structure (4),Grade 5 Reading Standards for Informational Texts - Key Ideas and Details (2),Grade 5 Reading Standards for Informational Texts - Craft and Structure (4),Grade 5 Language Standards - Vocabulary Acquisition and Use (4)"			4 & 5	math & science	2	5
determined		no	verb	"to find out or come to a decision by investigation, reasoning, or calculation"	MW online	determine	determin	adjective	5	5	1	n/a	69	175.6382	0		cognate	determinado	1	HS.A-AR 	NOT PRESENT						5	math	1	1
determining		no	verb	"to find out or come to a decision by investigation, reasoning, or calculation"	MW online	determine	determin	adjective	1	4	1	n/a	14	175.6382	0		cognate	determinar	1	NOT PRESENT	"Grades 9-10 Reading Standards for Informational Text,Grades 11-12 Reading Standards for Literature,Grades 11-12 Reading Standards for Informational Text"						4	math	1	1
diagonal		no	adjective	joining two opposite corners of a four-sided figure	MW online	diagonal	diagon	noun & adjective	5 & 2	5	1	abstract	2	3.1364	0		cognate	diagonal	1	NOT PRESENT	NOT PRESENT						5	math	1	1
diagonally		no	adverb	in a diagonal direction	Webster's Online Dictionary	diagonally	diagon	adverb	1	4 & 5	2	n/a	0.8954	3.1364	0		cognate	diagonalmente	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
diagonals		no	noun	a diagonal straight line or a plane (plural)	MW online	diagonal	diagon	noun & adjective	5 & 2	5	1	abstract	0.241	3.1364	0		cognate	diagonales	1	HS.G-CO 	NOT PRESENT						5	math	1	1
diagram	noun--picture or depiction	no	noun	a graphic design that explains or represents; especially: a drawing that shows arrangement and relations (as of parts)	MW online	diagram	diagram	noun & verb	1 & 1	4 & 5	4	concrete	22	26.402	0		cognate	diagrama	1	"2.MD ,3.NF ,3.MD ,4.NF ,4.MD ,6.NS ,7.NS ,8.NS "	"Grade 2 Reading Standards for Informational Text,Grades 6-8 Reading Standards for Literacy in Science and Technical Subjects"	"Math:4.NF Understand decimal notation for fractions, and compare decimal fractions (6), 4.MD Geometric measurement: understand concepts of angle and measure angles (7)"					4 & 5	math & science	2	6
diagrams	noun--pictures	no	noun	a graphic design that explains or represents; especially: a drawing that shows arrangement and relations (as of parts) (plural)	MW online	diagram	diagram	noun & verb	1 & 1	4	2	concrete	4	26.402	0		cognate	diagramas	1	"4.MD ,6.R ,6.NS ,6.EE ,7.R ,7.S "	"Grade 4 Reading Standards for Informational Text,"	Math:4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (2); ELA:Grade 4 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (7)					4	math	1	2
diameter		yes	noun	a line segment that connects two points on a circle and passes through the center	4th math hm	diameter	diamet	noun	2	4 & 5	4	abstract	13	13.4245	0		cognate	diámetro	1	HS.G-C 	NOT PRESENT						4 & 5	math & science	2	6
differ		no	verb	"to be unlike or distinct in nature, form, or characteristics"	MW online	differ	differ	verb	2	4	1	n/a	28	935.5549	0		cognate	difieren	1	"4.NF ,6.NS "	"Kindergarten Reading Standards: Foundational Skills,"	Math:4.NF Extend understanding of fraction equivalence and ordering (1)					4	math	1	1
difference	noun--answer to a subtraction problem	yes	noun	the answer in a subtraction problem	4th math hm	difference	differ	noun	5	4 & 5	3	abstract	88	935.5549	0		cognate	diferencia	1	"K.MD ,2.MD ,4.MD ,5.NF ,6.NS ,7.NS ,7.S ,HS.N-CN ,HS.A-SSE ,HS.F-BF ,HS.G-GE ,8A.A "	"Grade 4 Reading Standards for Literature,"	Math:4.MD Represent and interpret data (4); ELA:Grade 4 Reading Standards for Literature - Craft and Structure (6)		Math: 5.NF - Use equivalent fractions as a strategy to add and subtract fractions (1)			4 & 5	math	1	3
differences	answers to subtraction problems	no	noun	the answer in a subtraction problem (plural)	4th math hm	difference	differ	noun	5	5	1	abstract	72	935.5549	0		cognate	diferencias	1	"K.G ,1.NBT ,2.MD ,HS.F-LE ,HS.S-ID ,HS.S-IC "	"Kindergarten Reading Standards for Informational Text,Grade 1 Reading Standards for Literature,Grade 1 Reading Standards for Informational Text,Grade 2 Reading Standards for Literature,Grade 3 Language Standards,Grade 4 Reading Standards for Literature,Grade 4 Reading Standards for Informational Text,Grade 5 Reading Standards for Informational Text,Grade 8 Reading Standards for Literature"	" ELA:Grade 4 Reading Standards for Literature - Craft and Structure (5),Grade 4 Reading Standards for Informational Texts - Craft and Structure (6)"		ELA: Grade 5 Reading Standards for Informational Texts - Craft and Structure (6)			4 & 5	math & science	2	2
differentiate		no	verb	to express the specific distinguishing quality of	MW online	differentiate	differenti	verb	6	5	1	n/a	1	6.3557	2		cognate	diferenciar	1	NOT PRESENT	"Grade 4 Speaking and Listening Standards,Grade 4 Language Standards,"	" ELA:Grade 4 Speaking and Listening Standards - Presentation of Knowledge and Ideas (6),Grade 4 Language Standards - Knowledge of Language (3)"					4 & 5	math & science	2	2
digest	verb break down food	no	verb	to convert (food) into absorbable form	MW online	digest	digest	noun & verb	2 & 8	4 & 5	2	concrete	6	42.7975	0		cognate	digerir	0								4 & 5	math & science	2	3
digestive		no	adjective	relating to or functioning in digestion	MW online	digestive	digest	noun & adjective	1 & 1	5	1	concrete	15	42.7975	0		cognate	digestivo	0								5	math & science	2	3
digit	number	yes	noun	"any of the symbols 0, 1, 2, 3, 4, 5, 6, 7, 8, and 9"	4th math hm	digit	digit	noun	3	4 & 5	3	abstract	0.9311	3.9748	0		cognate	dígito	1	"4.NBT ,5.NBT ,7.EE ,8.EE "	NOT PRESENT	Math: 4.NBT Generalize place value understanding for multi-digit whole numbers (1)		Math: 5.NBT - Understand the place value system (1)			4 & 5	math	1	3
digital	adjective--opposite of analog	yes	adjective	providing a readout in numerical digits	MW online	digital	digit	adjective	3	4	1	n/a	1	3.9748	0		cognate	digital	1	"1.MD ,2.MD "	"Kindergarten Writing Standards,Grade 1 Writing Standards,Grade 2 Reading Standards for Literature,Grade 2 Writing Standards,Grade 2 Language Standards,Grade 3 Writing Standards,Grade 3 Language Standards,Grade 4 Writing Standards,Grade 4 Language Standards,Grade 5 Reading Standards for Informational Text,Grade 5 Writing Standards,Grade 5 Language Standards,Grade 6 Writing Standards,Grade 6 Language Standards,Grade 7 Writing Standards,Grade 7 Language Standards,Grade 8 Reading Standards for Informational Text,Grade 8 Writing Standards,Grade 8 Language Standards,Grades 9-10 Speaking and Listening,Grades 9-10 Language Standards,Grades 11-12 Writing Standards,Grades 11-12 Speaking and Listening Standards,Grades 6-8 Reading Standards for Literacy in History/Social Studies,Grades 9-10 Reading Standards for Literacy in History/Social Studies,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects,Grades 11-12 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"	" ELA:Grade 4 Writing Standards -  Research to Build and Present Knowledge (8),Grade 4 Language Standards - Knowledge of Language (4)"		"ELA: Grade 5 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (7),Grade 5 Writing Standards - Research to Build and Present Knowledge (8),Grade 5 Language Standards - Vocabulary Acquisition and Use (4)"			4	math	1	1
digits	numbers	yes	noun	"the symbols used to write a number: 0, 1, 2, 3, 4, 5, 6, 7, 8, and 9 (plural)"	4th math psf	digit	digit	noun	3	4 & 5	4	abstract	2	3.9748	0		cognate	dígitos	1	"1.NBT ,2.NBT ,3.NBT ,4.NBT ,5.NBT ,7.S "	NOT PRESENT	"Math: 4.NBT Generalize place value understanding for multi-digit whole numbers (2), 4.NBT Generalize place value understanding for multi-digit whole numbers (5)"		Math: 5.NBT - Understand the place value system (3)			4 & 5	math	1	4
dimensions		no	noun	measure of extension in one direction or in all directions (plural)	MW online	dimension	dimens	noun & verb	4 & 2	4 & 5	3	abstract	8	13.8518	1	demension	cognate	dimensiones	1	"8.G ,HS.N-VM ,HS.G-GMD ,8A.G "	NOT PRESENT						4 & 5	math	1	3
director	person in charge	no	noun	one who directs: as the head of an organized group or administrative unit (as a bureau or school)	MW online	director	director	noun	5	4 & 5	2	concrete	16	440.2067	0		cognate	director	0								4 & 5	math	1	2
discount	adjective--as in discount stores	no	adjective	reflecting a discount or reduction in price	MW online	discount	discount	noun & verb	4 & 2	5	1	abstract	4	188.9759	0		cognate	descuento	0								5	math	1	1
discount	noun--money off the regular price	no	noun	a reduction made from the gross amount or value of something	MW online	discount	discount	noun & verb	4 & 2	5	1	abstract	4	188.9759	0		cognate	descuento	0								5	math	1	1
discounted	adjective--discounted price	no	adjective	selling or offered at less than the usual or established price	Dictionary.com	discount	discount	noun & verb	4 & 2	5	1	abstract	0.1641	188.9759	0		cognate	descuento	0								5	math	1	1
discovered		no	verb	to make known or visible	MW online	discover	discov	adjective	2	4 & 5	2	n/a	110	163.7752	0		cognate	descubrido	0								4 & 5	math	1	2
discovery		no	noun	the act or process of discovering 	MW online	discovery	discoveri	noun	4	4	1	abstract	39	54.492	0		cognate	descubrimiento	0								4	math & science	2	2
display	noun	no	noun	a setting or presentation of something in open view	MW online	display	displai	noun & verb	6 & 3	4 & 5	2	abstract	22	38	2		notcognate		0	"4.MD ,5.MD ,6.S "	"Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"	Math:4.MD Represent and interpret data (4)		Math: 5.MD - Represent and interpret data (2)			4 & 5	math & science	2	3
displaying	to show or present	no	verb	"to put or spread before the view, to make evident, or to exhibit ostentatiously"	MW online	display	displai	noun & verb	6 & 3	4	1	abstract	1	38	1	display	notcognate		0	"8.S ,8A.S "	NOT PRESENT						4	math	1	1
distance		yes	noun	"a separation in time, or the degree or amount of separation between two points, lines, surfaces,  or objects"	MW online	distance	distanc	noun & verb	6 & 2	4 & 5	3	abstract	118	180.0325	0		cognate	distancia	1	"6.NS ,6.EE ,7.NS ,8.G ,HS.N-CN ,HS.G-CO ,HS.G-GE ,8A.G "	NOT PRESENT						4 & 5	math & science	2	4
distances		no	noun	"a separation in time, or the degree or amount of separation between two points, lines, surfaces,  or objects (plural)"	MW online	distance	distanc	noun & verb	6 & 2	4	1	abstract	23	180.0325	0		cognate	distancias	1	"4.MD ,6.NS ,6.EE ,HS.G-GE "	NOT PRESENT	Math:4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (2)					4	math & science	2	2
distinguishing		no	verb	to perceive a difference in: mentally separate	MW online	distinguish	distinguish	adjective	1	4 & 5	3	n/a	3	33.0548	0		cognate	distinguiendo	0								4 & 5	math	1	3
distribute		yes	verb	to divide among several or many	MW online	distribute	distribut	verb	10	4 & 5	2	n/a	3	47.9076	2		cognate	distribuir	0	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
distributive	a property	yes	adjective	"having the property that when the sum of two addends is multiplied by a factor, the product is the same as if each addend were multiplied by the factor and those products were added (example: a x (b+c)=(a x b)+(a x c)"	4th math hm	distributive	distribut	adjective	1	4 & 5	3	n/a	0.6267	47.9076	1	distribute	cognate	distributivo	1	"3.OA ,3.MD ,6.NS ,6.EE ,7.NS ,8.EE ,HS.N-CN ,HS.N-VM ,HS.A-SSE ,8A.A "	NOT PRESENT						4 & 5	math	1	3
divide		yes	verb	doing an operation to find the number in each group or the number of equal groups	4th math psf	divide	divid	noun & verb	2 & 6	4 & 5	3	abstract	30	133.1935	0		cognate	dividir	1	"3.OA ,3.MD ,4.OA ,5.NBT ,5.NF ,6.NS ,7.NS ,HS.A-AR ,HS.F-BF ,8A.A "	NOT PRESENT	Math: 4.OA Use the four operations with whole numbers to solve problems (2)		"Math: 5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (7),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (7)"			4 & 5	math	1	3
divided		yes	verb	doing an operation to find the number in each group or the number of equal groups	4th math psf	divide	divid	adjective	3	4 & 5	2	n/a	82	133.1935	0		cognate	dividido	1	"5.NBT ,7.NS "	NOT PRESENT			Math: 5.NBT - Understand the place value system (2)			4 & 5	math	1	2
dividend		yes	noun	"the number that is divided in a division problem, in the problem: 10/2=5, the dividend is 10."	4th math hm	dividend	dividend	noun	3	4 & 5	4	abstract	1	4	0		cognate	dividendo	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	4
divides		yes	verb	doing an operation to find the number in each group or the number of equal groups	4th math psf	divide	divid	noun & verb	2 & 6	4	1	abstract	8	133.1935	0		cognate	divide	1	HS.G-SRT 	NOT PRESENT						4	math	1	1
dividing		yes	verb	doing an operation to find the number in each group or the number of equal groups	4th math psf	divide	divid	adjective	2	4	1	n/a	12	133.1935	0		cognate	dividiendo	1	"5.NF ,6.R ,HS.F-BF "	NOT PRESENT			Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (3)			4	math	1	1
divisibility		no	noun	"the capacity of being evenly divided, without a remainder"	MW online	divisibility	divis	noun	1	4 & 5	3	abstract	0.0119	48.4148	0		cognate	divisibilidad	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	3
divisible		yes	adjective	"One number is divisible by another if the quotient is a whole number and the remainder is 0. For example, 10 is divisible by 2, since 10/2= 5"	4th math hm	divisible	divis	adjective	1	4 & 5	3	n/a	0.1624	48.4148	0		cognate	divisible	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	3
division		no	noun	the mathematical operation of dividing something	MW online	division	divis	noun	12	4 & 5	3	abstract	35	48.4148	0		cognate	división	1	"2.OA ,3.OA ,4.NBT ,5.NBT ,5.NF ,6.NS ,7.NS ,HS.A-AR ,HS.F-BF "	NOT PRESENT	"Math: 4.NBT Generalize place value understanding for multi-digit whole numbers (1), 4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic (6)"		"Math: 5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (6),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (3),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (7)"			4 & 5	math	1	3
divisor		yes	noun	"The number by which a number is divided. In 6/3= 2, the divisor is 3."	4th math hm	divisor	divisor	noun	2	4 & 5	4	abstract	0.0119	48.4148	0		cognate	divisor	1	7.NS 	NOT PRESENT						4 & 5	math	1	4
divisors		yes	noun	"The number by which a number is divided. In 6/3= 2, the divisor is 3.  (plural)"	4th math psf	divisor	divisor	noun	2	5	1	abstract	0.0023	48.4148	0		cognate	divisores	1	"4.NBT ,5.NBT "	NOT PRESENT	Math: 4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic (6)		Math: 5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (6)			5	math	1	1
donate		no	verb	to make a gift of; especially: to contribute to a public or charitable cause 	MW online	donate	donat	verb	1	5	1	n/a	1	4.117	0		cognate	donar	0								5	math	1	1
donation		no	noun	the act or instance of donating: as the making of a gift especially to a charity or public institution	MW online	donation	donat	noun	2	4	1	abstract	0.3882	4.117	0		cognate	donación	0								4	math	1	1
double	take a value times two	no	verb	to make twice as great or as many	MW online	double	doubl	noun & verb & adjective & adverb	5 & 6 & 7 & 3	4	1	abstract	38	51.4358	0		cognate	doble	0								4	math	1	1
doubled	taken times two	no	adjective	being twice as great or as many	MW online	double	doubl	adjective	1	4 & 5	3	n/a	9	51.4358	0		notcognate		0								4 & 5	math	1	3
dowel		no	noun	a pin fitting into a hole in an abutting piece to prevent motion or slipping	MW online	dowel	dowel	noun	1	5	1	concrete	0.5918	0.6961	0		notcognate		0								5	math	1	1
dowels		no	noun	a pin fitting into a hole in an abutting piece to prevent motion or slipping (plural)	MW online	dowel	dowel	noun	1	4	1	concrete	0.1043	0.6961	0		notcognate		0								4	math	1	1
dozen		no	noun	a group of 12	MW online	dozen	dozen	noun & adjective	1 & 1	4 & 5	2	abstract	31	44.9468	0		cognate	docena	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
earn		no	verb	to receive as return for effort and especially for work done or services rendered	MW online	earn	earn	verb	2	4	1	n/a	33	70.4985	0		notcognate		0								4	math	1	1
earned		no	verb	to receive as return for effort and especially for work done or services rendered	MW online	earn	earn	adjective	1	5	1	n/a	19	70.4985	0		notcognate		0								5	math	1	1
easel		no	noun	a frame for supporting something (as a canvas for a painting)	MW online	easel	easel	noun	1	4	2	concrete	0.7438	0.7992	0		notcognate		0								4	math	1	2
edge	segment where 2 faces meet	yes	noun	the segment where two faces of a solid figure meet	4th math hm	edge	edg	noun & verb	6 & 4	4 & 5	4	concrete	104	127.5997	0		notcognate		1	"5.MD ,6.G ,7.EE "	NOT PRESENT			Math:  5.MD - understand concepts of volume and relate volume to multiplication and to addition (5)			4 & 5	math	1	4
edges	noun plural	yes	noun	the segment where two faces of a solid figure meet (plural)	4th math hm	edge	edg	noun & verb	6 & 4	5	1	concrete	20	127.5997	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
eighth		no	noun	"a fraction equal to 1/8 of the whole, or an octave"	MW online	eighth	eighth	noun & adjective	2 & 1	5	1	abstract	9	9.1281	0		notcognate		0								5	math	1	1
eighths		no	noun	"a fraction equal to 1/8 of the whole, or an octave (plural)"	MW online	eighth	eighth	noun & adjective	2 & 1	4	1	abstract	0.1281	9.1281	0		notcognate		0								4	math	1	1
elapsed	adjective--elapsed time	yes	adjective	(of time) having passed or slipped by	Webster's Online Dictionary	elapse	elaps	adjective	1	4 & 5	2	n/a	2	2.1598	0		notcognate		0								4 & 5	math	1	2
election		no	noun	"an act or process of electing, or the fact of being elected"	MW online	election	elect	noun	4	4 & 5	2	abstract	30	295.7213	0		cognate	elección	0								4 & 5	math	1	2
electric		no	adjective	"of, relating to, or operated by electricity"	MW online	electric	electr	noun & adjective	1 & 3	4	1	concrete	88	295.7213	0		cognate	eléctrico	0								4	math & science	2	2
electronics		no	noun	"a branch of physics that deals with the emission, behavior, and effects of electrons (as in the electron tubes and transistors) and with electronic devices"	MW online	electronics	electron	noun	1	4	1	abstract	3	83	0		cognate	electrónica	0								4	math	1	1
elevation		yes	noun	the height to which something is elevated: as the height above the level of the sea.	MW online	elevation	elev	noun	8	4 & 5	4	abstract	8	33.3027	0		cognate	elevación	1	6.NS 	NOT PRESENT						4 & 5	math & science	2	5
elevations		no	noun	the height to which something is elevated: as the height above the level of the sea (plural)	MW online	elevation	elev	noun	8	5	1	abstract	1	33.3027	0		cognate	elevaciones	1	NOT PRESENT	NOT PRESENT						5	math	1	1
emigrant		no	noun	one who is departing or has departed from a country to settle elsewhere	MW online	emigrant	emigr	noun	1	4	1	concrete	0.3782	3.3289	0		cognate	emigrante	0								4	math	1	1
enclose		no	verb	"to close in, or to surround"	MW online	enclose	enclos	verb	4	5	1	n/a	1	14.4227	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
endangered		no	adjective	being in danger or peril	MW online	endanger	endang	adjective	1	4	2	n/a	3	4.7784	0		notcognate		0								4	math	1	2
endpoint		yes	noun	"the point at either end of a line segment, or at the end of a ray"	4th math hm	endpoint	endpoint	noun	1	4 & 5	4	concrete	0.0239	0.0392	0		notcognate		1	"3.NF ,4.MD "	NOT PRESENT	Math: 4.MD Geometric measurement: understand concepts of angle and measure angles (5)					4 & 5	math	1	4
endpoints		yes	noun	"the point at either end of a line segment, or at the end of a ray (plural)"	4th math hm	endpoint	endpoint	noun	1	4 & 5	3	concrete	0	n/a	0		notcognate		1	"HS.N-CN ,HS.G-CO "	NOT PRESENT						4 & 5	math	1	3
energy		no	noun	"a dynamic quality, or the capacity of acting or being active"	MW online	energy	energi	noun	6	4 & 5	2	concrete	332	337.5389	2		cognate	energía	1	NOT PRESENT	Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects						4 & 5	math & science	2	6
equal		no	adjective	"of the same measure, quantity, amount, or number as another; also, identical in mathematical value or logical denotation"	MW online	equal	equal	noun & verb & adjective	1 & 3 & 2	4	1	concrete	84	138.4797	0		cognate	igual	1	"K.CC, K.OA ,K.G ,1.OA ,1.G ,2.OA ,2.G ,3.OA ,3.NF ,3.G ,5.NF ,6.NS ,7.S ,HS.F-BF ,HS.F-LE ,8A.NQ "	NOT PRESENT			Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (4)			4	math	1	1
equality		no	noun	the quality or state of being equal	MW online	equality	equal	noun	2	4	1	abstract	12	138.4797	0		cognate	igualdad	1	"HS.A-REI ,HS.G-SRT "	NOT PRESENT						4	math	1	1
equally		no	adverb	in an equal or uniform manner--evenly	MW online	equally	equal	adverb	2	4 & 5	2	n/a	32	138.4797	0		cognate	igualmente	1	"2.MD ,3.OA ,5.NF ,5.MD ,6.NS ,7.S ,HS.F-BF "	NOT PRESENT			"Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (3),5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (7),5.MD - Represent and interpret data (2)"			4 & 5	math	1	2
equals		no	verb	 to be equal to; especially : to be identical in value to	MW online	equal	equal	noun & verb & adjective	1 & 3 & 2	4	2	concrete	8	138.4797	0		cognate	iguales	1	"2.NBT ,5.NF ,HS.F-BF "	NOT PRESENT			Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (3)			4	math	1	2
equation		yes	noun	"A mathematical sentence with an equal sign. For example, 3 + 1= 4 and 2x + 5= 9 are equations. "	4th math hm	equation	equat	noun	3	4 & 5	4	abstract	7	33.9167	1	equate	cognate	ecuación	1	"K.CC, K.OA , K.NBT ,1.OA ,2.OA ,3.OA ,4.OA ,4.NF ,4.MD ,5.NF ,6.EE ,8.EE ,8.S ,HS.A-REI ,HS.F-IF ,HS.F-BF ,HS.G-GE ,8A.A ,8A.F ,8A.G ,8A.S "	Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects	"Math:4.OA Use the four operations with whole numbers to solve problems (1),4.NF Build fractions from unit fractions by applying and extending previous understandings of operations (3),Build fractions from unit fractions by applying and extending previous understanding of operations on whole numbers (4),4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit (3), 4.MD Geometric measurement: understand concepts of angle and measure angles (7)"		Math: 5.NF - Apply and extend previous understandings of multiplication and division to multiply and divide fractions (4)			4 & 5	math & science	2	6
