MATH WORDS		SOURCE #1--A MATH TEXT								SOURCE #2--A MATH TEXT								SOURCE #3--A MATH TEXT								SOURCE #4--A MATH TEXT								SOURCE #5--NOT A MATH TEXT								SOURCE #6--NOT A MATH TEXT								SOURCE #7--NOT A MATH TEXT								SOURCE #8--NOT A MATH TEXT							
	id	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE
electric	315	542					4th math hm	math	4																									39					4th science delta	science	4																								
electronics	316	105					4th math psf	math	4																																																								
elevation	317	340					5th math psf	math	5	356					4th math hm	math	4	39		x			4th math psf	math	4	ksh34					5th math hm	math	5	256		x			5th science delta	science	5																								
elevations	318	357					5th math psf	math	5																																																								
emigrant	319	167					4th math psf	math	4																																																								
enclose	320	439					5th math hm	math	5																																																								
endangered	321	17					4th math hm	math	4	179					4th math psf	math	4																																																
endpoint	322	468					5th math psf	math	5	558		x			4th math hm	math	4	196					4th math psf	math	4	ksh26		x			5th math hm	math	5																																
endpoints	323	497					4th math hm	math	4	196					4th math psf	math	4	472					5th math psf	math	5																																								
energy	324	496					4th math hm	math	4	224					5th math hm	math	5																	72		x			4th science delta	science	4	28					4th science mmh	science	4	139		x			5th science delta	science	5	50					5th science mmh	science	5
equal	325	468					4th math psf	math	4																																																								
equality	326	120					4th math psf	math	4																																																								
equally	327	531					4th math hm	math	4	470					5th math psf	math	5																																																
equals	328	182					4th math hm	math	4	129					4th math psf	math	4																																																
equation	329	470		x			5th math psf	math	5	90		x			4th math hm	math	4	468		x			4th math psf	math	4	99		x			5th math hm	math	5	78		x			5th science delta	science	5	93					5th science mmh	science	5																
equations	330	416					4th math psf	math	4	ksh14		x			5th math hm	math	5	472		x			5th math psf	math	5																																								
equator	331	4					5th math psf	math	5																									86					4th science delta	science	4	201					5th science delta	science	5	490		x			5th science mmh	science	5								
equilateral	332	470	having the same length sides				5th math psf	math	5	557		x			4th math hm	math	4	200					4th math psf	math	4	412		x			5th math hm	math	5																																
equivalence	333	373					4th math hm	math	4	224					4th math psf	math	4	212					5th math psf	math	5																																								
equivalent	334	ksh3	adjective: equal in value				5th math hm	math	5	10	adjective--having the same value	x			5th math psf	math	5	366	adjective	x			4th math hm	math	4																																								
equivalent	335	424	noun				4th math hm	math	4	468	noun	x			4th math psf	math	4																																																
equivalents	336	ksh3	numbers with equal values				5th math hm	math	5	298	things with the same value				5th math psf	math	5																																																
estimate	337	25	noun	x			4th math hm	math	4																									148					4th science mmh	science	4	258					5th science delta	science	5	46					5th science mmh	science	5								
estimate	338	xi	verb--to make a good guess				4th math psf	math	4	217	verb				4th math hm	math	4	b4	verb				5th math hm	math	5	470	verb	x			5th math psf	math	5	148					4th science mmh	science	4	258					5th science delta	science	5	46					5th science mmh	science	5								
estimated	339	32	verb				5th math psf	math	5	12					4th math hm	math	4	147					4th math psf	math	4	57					5th math hm	math	5	251					4th science delta	science	4																								
estimates	340	95	3rd person sing verb				4th math psf	math	4																																																								
estimates	341	217	noun plural				4th math hm	math	4	468	noun plural				5th math psf	math	5																																																
estimating	342	471	verb				5th math psf	math	5	217					4th math hm	math	4	259					5th math hm	math	5																																								
estimation	343	6					4th math hm	math	4	466					4th math psf	math	4	276					5th math hm	math	5	46					5th math psf	math	5																																
evaluate	344	92		x			4th math hm	math	4	147					4th math psf	math	4	104					5th math hm	math	5																																								
evaluated	345	ksh15					5th math hm	math	5																																																								
evaluating	346	104					4th math hm	math	4	114					5th math psf	math	5																																																
even	347	650	as in even numbers				4th math hm	math	4	180	as in even numbers				4th math psf	math	4																																																
evenly	348	185					4th math hm	math	4																																																								
event	349	466		x			4th math psf	math	4	469		x			5th math psf	math	5																	495					5th science mmh	science	5																								
evidence	350	154					4th math hm	math	4	126					4th math psf	math	4																	263		x			4th science delta	science	4	161					4th science mmh	science	4	3					5th science mmh	science	5								
exact	351	216					4th math hm	math	4	472					4th math psf	math	4																																																
examine	352	ksh5					5th math hm	math	5																									381					4th science mmh	science	4																								
examining	353	497					4th math hm	math	4																									178					4th science mmh	science	4																								
exhibit	354	41	a display in a museum or zoo				5th math hm	math	5	238					4th math hm	math	4																																																
expanded	355	470	as in expanded form				5th math psf	math	5	5	as in expanded form	x			4th math hm	math	4	468	as in expanded form	x			4th math psf	math	4	56	as in expanded form	x			5th math hm	math	5																																
expanding	356	228					4th math hm	math	4																																																								
experiment	357	473	noun--a systematic inquiry				5th math psf	math	5	539	noun				4th math hm	math	4	471					4th math psf	math	4									21					4th science delta	science	4	6					4th science mmh	science	4	3		x			5th science mmh	science	5								
exponent	358	471		x			5th math psf	math	5	102					5th math hm	math	5																																																
exponential	359	66					5th math psf	math	5																																																								
exponents	360	ksh5		x			5th math hm	math	5	471					5th math psf	math	5																																																
express	361	36	verb--to communicate				5th math hm	math	5	432	to show				4th math hm	math	4																																																
expressed	362	340	represented as  or stated as				5th math psf	math	5																																																								
expresses	363	486					5th math hm	math	5																																																								
expression	364	39	part of a formula or equation				5th math psf	math	5	92		x			4th math hm	math	4	466					4th math psf	math	4	ksh14	as in algebraic expression	x			5th math hm	math	5																																
expressions	365	93					4th math hm	math	4	31					4th math psf	math	4	110					5th math psf	math	5																																								
extend	366	7					4th math hm	math	4																																																								
extending	367	452					5th math hm	math	5																																																								
extends	368	467					4th math psf	math	4																																																								
face	369	619	side of a figure	x			4th math hm	math	4	469	side of a figure	x			4th math psf	math	4	471	side of a figure	x			5th math hm	math	5	471	side of a figure	x			5th math psf	math	5																																
faces	370	622	sides of a figure	x			4th math hm	math	4	195	sides of a figure				4th math psf	math	4	ksh22	sides of a figure	x			5th math hm	math	5	469	sides of a figure				5th math psf	math	5																																
factor	371	468	a smaller number that can be evenly multiplied into a bigger number	x			5th math psf	math	5	300	a smaller number that can be evenly multiplied into a bigger number	x			4th math hm	math	4	469	a smaller number that can be evenly multiplied into a bigger number				4th math psf	math	4	5	a smaller number that can be evenly multiplied into a bigger number	x			5th math hm	math	5	78					4th science delta	science	4	15					4th science mmh	science	4																
factor	372	300	verb- to factor				4th math hm	math	4																									78					4th science delta	science	4	15					4th science mmh	science	4																
factorization	373	474		x			5th math psf	math	5																																																								
factors	374	213	noun plural	x			4th math hm	math	4	469	noun plural	x			4th math psf	math	4	6	noun plural	x			5th math hm	math	5	471	noun plural	x			5th math psf	math	5	78					4th science delta	science	4																								
factory	375	43					4th math hm	math	4	112					4th math psf	math	4																	183					4th science delta	science	4	53					5th science delta	science	5																
features	376	312	verb:  displays				4th math hm	math	4																																																								
features	377	3	noun				4th math hm	math	4																																																								
feet	378	350	measures of 1 foot	x			4th math psf	math	4	101	more than 1 12-inch foot				5th math psf	math	5																																																
ferret	379	452					4th math hm	math	4																																																								
ferrets	380	133					5th math psf	math	5																																																								
ferried	381	146	go on a ferry				4th math psf	math	4																																																								
ferry	382	146	noun				4th math psf	math	4																																																								
figure	383	469	a 2- or 3-dimensional shape				5th math psf	math	5	325	a 2- or 3-dimensional shape				4th math hm	math	4	193	a 2- or 3-dimensional shape				4th math psf	math	4	483	a 2- or 3-dimensional shape				5th math hm	math	5																																
figures	384	472	more than one 2- or 3-dimensional shapes				4th math psf	math	4																																																								
figures	385	172	small statues				4th math hm	math	4																																																								
figurines	386	227					4th math hm	math	4	532					5th math hm	math	5																																																
fleece	387	422					4th math hm	math	4	402					5th math hm	math	5																																																
floor	388	356	bottom of canyon or valley				4th math hm	math	4																																																								
floor	389	398	gymnastics event				4th math psf	math	4																																																								
flute	390	129	a musical instrument				5th math psf	math	5	197	a musical instrument				5th math hm	math	5																																																
foot	391	321	a 12-inch unit of measurement	x			4th math hm	math	4	350	1-foot measure	x			4th math psf	math	4	101	12 inches	x			5th math psf	math	5																																								
formula	392	471		x			5th math psf	math	5	602		x			4th math hm	math	4	359					4th math psf	math	4	ksh20					5th math hm	math	5	78		x			5th science delta	science	5																								
formulas	393	553					4th math hm	math	4	358					4th math psf	math	4	436					5th math hm	math	5	300					5th math psf	math	5	32					5th science delta	science	5																								
formulate	394	382					4th math psf	math	4																																																								
fossil	395	145					4th math psf	math	4																									263		x			4th science delta	science	4	160					4th science mmh	science	4																
fossils	396	330					4th math hm	math	4	132					5th math hm	math	5	395					5th math psf	math	5									221					4th science delta	science	4	164		x			4th science mmh	science	4																
fourth	397	363					4th math psf	math	4	372					4th math hm	math	4																																																
fourths	398	373					4th math hm	math	4	237					4th math psf	math	4																																																
fraction	399	471		x			5th math psf	math	5	386		x			4th math hm	math	4	469		x			4th math psf	math	4	ksh3		x			5th math hm	math	5	51					4th science delta	science	4	103		x			4th science mmh	science	4	180					5th science mmh	science	5								
fractional	400	468					5th math psf	math	5																									114					4th science delta	science	4	385					5th science mmh	science	5																
fractions	401	365					4th math hm	math	4	224					4th math psf	math	4	ksh7					5th math hm	math	5	6					5th math psf	math	5																																
frequencies	402	352					5th math hm	math	5																																																								
frequency	403	352	adjective--as in a frequency table	x			5th math hm	math	5	470	as in a frequency table				5th math psf	math	5																																																
frequent	404	69					5th math hm	math	5																																																								
function	405	189	adjective--as in function table	x			4th math hm	math	4	97	adjective--as in function table	x			5th math hm	math	5																	172		x			4th science delta	science	4	61					5th science delta	science	5	33					5th science mmh	science	5								
functions	406	163	expressions involving one or more variables				4th math hm	math	4																									61	equations				5th science mmh	science	5	93					4th science delta	science	4	90					5th science delta	science	5								
gallon	407	651		x			4th math hm	math	4	350		x			4th math psf	math	4	236					5th math hm	math	5	159		x			5th math psf	math	5																																
gallons	408	332	capacity measurement	x			4th math hm	math	4	123					5th math psf	math	5																	0					4th science mmh	science	4	139					5th science mmh	science	5																
gems	409	70					4th math psf	math	4																									196		x			4th science delta	science	4	146					4th science mmh	science	4																
gemstones	410	126					4th math psf	math	4																									208					4th science delta	science	4																								
generalization	411	471		x			5th math psf	math	5	214					4th math psf	math	4																																																
generalizations	412	214					4th math psf	math	4	186					5th math psf	math	5																																																
generalize	413	27					4th math hm	math	4	452					5th math hm	math	5																																																
generating	414	618					5th math hm	math	5																																																								
generations	415	19					5th math psf	math	5																																																								
geometric	416	190					5th math psf	math	5	193					4th math psf	math	4	462					5th math hm	math	5																																								
geometry	417	98					4th math psf	math	4																																																								
govern	418	39					4th math psf	math	4																																																								
governed	419	39					4th math psf	math	4																																																								
governing	420	39					4th math psf	math	4																																																								
government	421	39					4th math psf	math	4																									141					4th science delta	science	4	69					5th science delta	science	5																
grainy	422	330					4th math hm	math	4																																																								
gram	423	651	unit of weight	x			4th math hm	math	4	469		x			4th math psf	math	4	471		x			5th math psf	math	5									68					4th science mmh	science	4	111					5th science delta	science	5	342					5th science mmh	science	5								
grams	424	336		x			4th math hm	math	4	44					4th math psf	math	4	116					5th math psf	math	5									69					4th science mmh	science	4	17					5th science delta	science	5	495					5th science mmh	science	5								
granite	425	419					5th math hm	math	5	126					4th math psf	math	4	382					4th math hm	math	4									209		x			4th science delta	science	4	140		x			4th science mmh	science	4																
granola	426	170					4th math psf	math	4																																																								
graph	427	354	noun--a chart	x			5th math hm	math	5	654	a chart	x			4th math hm	math	4	466	a chart	x			4th math psf	math	4	468	a chart	x			5th math psf	math	5	17	a chart				4th science mmh	science	4	89	a chart				4th science delta	science	4																
graphic	428	463					4th math hm	math	4	251					5th math hm	math	5																																																
graphs	429	44	noun plural				4th math psf	math	4	248	noun--charts				4th math hm	math	4																																																
grid	430	469					5th math psf	math	5	238					4th math hm	math	4	467					4th math psf	math	4	354		x			5th math hm	math	5																																
grids	431	440					4th math hm	math	4																																																								
grouping	432	516	a group				4th math hm	math	4																																																								
gymnastic	433	286					4th math psf	math	4																																																								
gymnastics	434	82					4th math psf	math	4																																																								
gymnasts	435	229					4th math psf	math	4	26					5th math psf	math	5																																																
half	436	214	adjective				4th math hm	math	4																																																								
half	437	205	noun				4th math psf	math	4	166	noun				5th math psf	math	5																																																
halfway	438	24	adjective				4th math psf	math	4																																																								
halfway	439	237	adverb				5th math psf	math	5																																																								
halves	440	276					4th math psf	math	4																																																								
height	441	202					4th math hm	math	4	452		x			5th math hm	math	5	471		x			5th math psf	math	5																																								
hexagon	442	471		x			5th math psf	math	5	557		x			4th math hm	math	4	469		x			4th math psf	math	4																																								
hexagons	443	553					4th math hm	math	4																																																								
highlighted	444	555					4th math hm	math	4																																																								
histogram	445	352		x			5th math hm	math	5	471		x			5th math psf	math	5																																																
homeless	446	46					5th math hm	math	5																																																								
hometown	447	216					4th math hm	math	4																																																								
horizontal	448	471					5th math psf	math	5	466					4th math hm	math	4	408					4th math psf	math	4	ksh16					5th math hm	math	5	243					4th science delta	science	4	260					5th science delta	science	5																
horizontally	449	141					4th math hm	math	4																																																								
housing	450	185	verb--providing a home for				4th math hm	math	4																																																								
hundreds	451	5					4th math hm	math	4																																																								
hundredth	452	469		x			4th math psf	math	4	471		x			5th math psf	math	5																																																
hundredths	453	415		x			4th math hm	math	4	270					4th math psf	math	4	54					5th math hm	math	5	10					5th math psf	math	5																																
hurricane	454	429		x			4th math psf	math	4	522					4th math hm	math	4																	257		x			5th science delta	science	5	492		x			5th science mmh	science	5																
hurricanes	455	522					4th math hm	math	4																									106					4th science mmh	science	4	159					5th science delta	science	5	270					5th science mmh	science	5								
hydrogen	456	18					5th math hm	math	5	240					5th math psf	math	5																	257		x			5th science delta	science	5	298					5th science mmh	science	5																
identical	457	476					5th math hm	math	5																									124					4th science mmh	science	4																								
identifies	458	39					5th math hm	math	5																																																								
identifying	459	190					4th math hm	math	4	16					4th math psf	math	4																																																
identity	460	128	"adjective--having to do with 0 or 1, identity elements"	x			5th math hm	math	5	470	adjective--having to do with an identity element	x			5th math psf	math	5	469	adjective--having to do with an identity element	x			4th math psf	math	4	652	adjective--having to do with an identity element	x			4th math hm	math	4																																
immigrants	461	9					5th math psf	math	5																																																								
improper	462	400					4th math hm	math	4	469		x			4th math psf	math	4	27		x			5th math hm	math	5																																								
inch	463	652	unit of measurement	x			4th math hm	math	4																																																								
inches	464	325	unit of measurement				4th math hm	math	4	350		x			4th math psf	math	4																																																
increase	465	b6	to make greater				5th math hm	math	5	61	verb				4th math hm	math	4																																																
increased	466	65	verb				4th math hm	math	4																																																								
increments	467	ksh30					5th math hm	math	5																																																								
indicate	468	124					4th math psf	math	4	340					4th math hm	math	4																	3					5th science mmh	science	5																								
indicated	469	358					4th math hm	math	4	67					5th math hm	math	5																																																
indicates	470	55					5th math hm	math	5																									493					5th science mmh	science	5																								
indicating	471	600					5th math hm	math	5																																																								
inequality	472	141	not equal	x			4th math hm	math	4	469		x			4th math psf	math	4	545					5th math hm	math	5																																								
infinite	473	440					4th math psf	math	4	ksh11					5th math hm	math	5																																																
input	474	190	noun--what is put into something				4th math hm	math	4	ksh18	noun				5th math hm	math	5	472	input value				5th math psf	math	5																																								
input	475	ksh18	verb--to put into something				5th math hm	math	5																																																								
installing	476	297					4th math psf	math	4																																																								
installment	477	156					5th math psf	math	5																																																								
installments	478	102					5th math psf	math	5																																																								
integer	479	348					4th math hm	math	4	336		x			4th math psf	math	4	345					5th math psf	math	5	544		x			5th math hm	math	5																																
integers	480	347		x			4th math hm	math	4	470		x			4th math psf	math	4	544		x			5th math hm	math	5	472		x			5th math psf	math	5																																
interpret	481	54					4th math hm	math	4	206					4th math psf	math	4	ksh32					5th math hm	math	5	420					5th math psf	math	5	171					4th science mmh	science	4																								
interpretations	482	373					4th math hm	math	4	224					4th math psf	math	4	212					5th math psf	math	5																																								
interpreted	483	118					5th math psf	math	5																									112					4th science delta	science	4	10					4th science mmh	science	4																
interpreting	484	384					4th math psf	math	4	349					5th math hm	math	5																	111					4th science delta	science	4	10					4th science mmh	science	4																
intersect	485	471					4th math psf	math	4	ksh27					5th math hm	math	5	472					5th math psf	math	5																																								
intersecting	486	559	adjective--intersecting lines	x			4th math hm	math	4	470	as in intersecting lines	x			4th math psf	math	4	398	as in intersecting lines	x			5th math hm	math	5																																								
interval	487	518		x			4th math hm	math	4	470		x			4th math psf	math	4	339		x			5th math hm	math	5	472		x			5th math psf	math	5																																
intervals	488	427					5th math hm	math	5	471					5th math psf	math	5																																																
inverse	489	71	adjective--operations that undo one another				4th math hm	math	4	470	adjective--operations that undo one another				4th math psf	math	4	ksh9	adjective--operations that undo one another				5th math hm	math	5	472	adjective--operations that undo one another	x			5th math psf	math	5																																
inverted	490	244					5th math hm	math	5																																																								
iron	491	295	the element or metal				4th math psf	math	4	396	an element				5th math hm	math	5																	72		x			4th science delta	science	4	196					4th science mmh	science	4	29					5th science delta	science	5	354					5th science mmh	science	5
irregular	492	364					4th math psf	math	4	180					5th math psf	math	5																																																
irrelevant	493	190					4th math hm	math	4	16					4th math psf	math	4	14					5th math psf	math	5																																								
isosceles	494	557		x			4th math hm	math	4	200					4th math psf	math	4	412		x			5th math hm	math	5	472		x			5th math psf	math	5																																
jazz	495	130					4th math psf	math	4	238					5th math hm	math	5																																																
justify	496	103					4th math hm	math	4	52					5th math psf	math	5																																																
key	497	518	legend for a graph	x			4th math hm	math	4	470	legend for a graph	x			4th math psf	math	4																	216	legend--like on a map				5th science mmh	science	5	72		x			4th science delta	science	4																
key	498	197	musical notes				5th math hm	math	5																									216	legend--like on a map				5th science mmh	science	5	72		x			4th science delta	science	4																
kilogram	499	472		x			5th math psf	math	5	653		x			4th math hm	math	4	470		x			4th math psf	math	4									483					5th science mmh	science	5																								
kilograms	500	336		x			4th math hm	math	4	302					4th math psf	math	4																	189					4th science delta	science	4	41					4th science mmh	science	4																
kilometer	501	653		x			4th math hm	math	4	470		x			4th math psf	math	4	472		x			5th math psf	math	5									18					5th science mmh	science	5																								
kilometers	502	334	units of length	x			4th math hm	math	4	xiv					4th math psf	math	4	xiv					5th math psf	math	5									51					4th science delta	science	4	86					4th science mmh	science	4	208					5th science delta	science	5	184					5th science mmh	science	5
kilowatt	503	145					5th math psf	math	5																																																								
kilowatts	504	145					5th math psf	math	5																																																								
label	505	27	verb				4th math hm	math	4																																																								
labeling	506	348					4th math hm	math	4																																																								
labels	507	339	noun plural	x			5th math hm	math	5																																																								
lead	508	456	in a pencil				5th math hm	math	5																									46					5th science delta	science	5	368					5th science mmh	science	5																
lead	509	451	noun--first place				4th math hm	math	4																									46					5th science delta	science	5	368					5th science mmh	science	5																
league	510	361		x			4th math psf	math	4	75					5th math hm	math	5																																																
lecture	511	313					4th math hm	math	4																																																								
lectures	512	132					5th math hm	math	5																																																								
length	513	107					5th math psf	math	5	326					4th math hm	math	4																																																
lengths	514	326					4th math hm	math	4																																																								
lighthouse	515	200					4th math hm	math	4																																																								
lightning	516	608					5th math hm	math	5																									291					4th science mmh	science	4	230					5th science delta	science	5	494		x			5th science mmh	science	5								
like	517	654	adjective meaning the same--like denominators				4th math hm	math	4																																																								
likelihood	518	472					4th math psf	math	4																																																								
likely	519	532	probable	x			4th math hm	math	4	468	probable	x			4th math psf	math	4	470	probable				5th math psf	math	5																																								
line	520	654		x			4th math hm	math	4	470		x			4th math psf	math	4	398					5th math hm	math	5	472		x			5th math psf	math	5																																
linear	521	472	having to do with a line	x			5th math psf	math	5	424					4th math psf	math	4	614					5th math hm	math	5																																								
lines	522	192					4th math psf	math	4																																																								
liter	523	472		x			5th math psf	math	5	654		x			4th math hm	math	4	470		x			4th math psf	math	4									79					4th science delta	science	4	17					5th science delta	science	5	126					5th science mmh	science	5								
liters	524	336		x			4th math hm	math	4	233					5th math psf	math	5																	387					4th science mmh	science	4	221					5th science delta	science	5																
logically	525	126					4th math psf	math	4	ksh1					5th math hm	math	5																																																
lunar	526	134					4th math hm	math	4	23					4th math psf	math	4																																																
manipulate	527	4					5th math psf	math	5	180	to move around				4th math hm	math	4																																																
marathon	528	353		x			4th math psf	math	4	427					5th math hm	math	5	46					5th math psf	math	5																																								
mascot	529	95					4th math psf	math	4	329					5th math psf	math	5																																																
mass	530	336	amount of matter in an object	x			4th math hm	math	4	470	the amount of something	x			4th math psf	math	4	472	quantity of matter of an object	x			5th math psf	math	5									189					4th science delta	science	4	5					4th science mmh	science	4	79		x			5th science delta	science	5	299		x			5th science mmh	science	5
masses	531	44	plural of mass (meaning amount)				4th math psf	math	4	450	plural of mass				4th math hm	math	4																	148					4th science mmh	science	4	112					5th science delta	science	5	263					5th science mmh	science	5								
mathematical	532	118					4th math psf	math	4	248					4th math hm	math	4																																																
mathematician	533	268					4th math psf	math	4																																																								
mathematics	534	5					4th math hm	math	4																																																								
matter	535	146	noun--physical substance				4th math hm	math	4	472	noun--physical substance				5th math psf	math	5																	121		x			4th science delta	science	4	44					4th science mmh	science	4	79		x			5th science delta	science	5	495		x			5th science mmh	science	5
matter	536	149	verb--have importance				4th math hm	math	4																									121		x			4th science delta	science	4	44					4th science mmh	science	4	79		x			5th science delta	science	5	495		x			5th science mmh	science	5
mean	537	470	the average	x			4th math psf	math	4	468	noun--the average	x			5th math psf	math	5	341	the average	x			5th math hm	math	5									27		x			5th science delta	science	5	213		x			5th science mmh	science	5																
measure	538	470	noun--measurement				5th math psf	math	5	467	noun--measurement				4th math psf	math	4																	5		x			4th science mmh	science	4	3		x			5th science mmh	science	5																
measurement	539	321					4th math hm	math	4	348					4th math psf	math	4																																																
measurer	540	150					5th math hm	math	5																																																								
measures	541	68	noun plural--musical measures				4th math psf	math	4																																																								
measuring	542	470					5th math psf	math	5																																																								
median	543	470	a descriptive statistic	x			4th math psf	math	4	507	a descriptive statistic	x			4th math hm	math	4	473	a descriptive statistic	x			5th math psf	math	5	338	a descriptive statistic	x			5th math hm	math	5																																
mental	544	46	of the mind				4th math hm	math	4																																																								
mentally	545	55					4th math hm	math	4	92					4th math psf	math	4	303					5th math hm	math	5																																								
meteorologist	546	553					5th math hm	math	5																									257		x			5th science delta	science	5	495		x			5th science mmh	science	5																
meteorologists	547	522					4th math hm	math	4																									233					5th science delta	science	5	495					5th science mmh	science	5																
meter	548	470	metric unit of length	x			4th math psf	math	4	655	a metric unit of length	x			4th math hm	math	4	473	a metric unit of length	x			5th math psf	math	5																																								
meter	549	80	a device that measures electricity				4th math hm	math	4																																																								
meters	550	334	metric units of length	x			4th math hm	math	4	280	metric units of length				4th math psf	math	4	472	metric units of length				5th math psf	math	5									83					4th science delta	science	4	92					5th science delta	science	5	181					5th science mmh	science	5								
meterstick	551	339					4th math hm	math	4																																																								
method	552	60					5th math hm	math	5	17					4th math hm	math	4	182					4th math psf	math	4									39					4th science delta	science	4																								
methods	553	38					4th math hm	math	4	44					4th math psf	math	4																	206					4th science delta	science	4	208					4th science mmh	science	4																
metric	554	655					4th math hm	math	4	354					4th math psf	math	4	469					5th math psf	math	5																																								
microclimate	555	176					5th math hm	math	5																																																								
microscope	556	198					4th math hm	math	4	150					5th math hm	math	5																	264		x			4th science delta	science	4	62					4th science mmh	science	4	64					5th science delta	science	5	495		x			5th science mmh	science	5
migrate	557	2					5th math psf	math	5	264		x			4th math hm	math	4																	173		x			4th science delta	science	4	366					4th science mmh	science	4																
migrated	558	95					5th math psf	math	5																																																								
migrates	559	264					4th math hm	math	4																																																								
migrating	560	264					4th math hm	math	4																									141					4th science delta	science	4																								
migration	561	17					4th math hm	math	4																									139					4th science delta	science	4																								
migrations	562	209					4th math hm	math	4																																																								
mile	563	123		x			5th math psf	math	5	321		x			4th math hm	math	4	350		x			4th math psf	math	4																																								
mileage	564	25					4th math psf	math	4																																																								
miles	565	66					4th math psf	math	4	107					5th math psf	math	5																																																
milligram	566	473		x			5th math psf	math	5																																																								
milligrams	567	472					5th math psf	math	5																																																								
milliliter	568	473		x			5th math psf	math	5	655		x			4th math hm	math	4	470		x			4th math psf	math	4									342					5th science mmh	science	5																								
milliliters	569	336		x			4th math hm	math	4	472					5th math psf	math	5																	17					5th science delta	science	5	179					5th science mmh	science	5																
millimeter	570	473		x			5th math psf	math	5	655		x			4th math hm	math	4	470		x			4th math psf	math	4									33					5th science mmh	science	5																								
millimeters	571	311					4th math psf	math	4	13					5th math psf	math	5	334	units of length	x			4th math hm	math	4									148					4th science mmh	science	4																								
million	572	655		x			4th math hm	math	4																									46					5th science mmh	science	5																								
millions	573	4					4th math hm	math	4	8					4th math psf	math	4	5					5th math psf	math	5									48					5th science mmh	science	5																								
miner	574	430					4th math hm	math	4																																																								
mineral	575	239					4th math hm	math	4	295					4th math psf	math	4																	264		x			4th science delta	science	4	140		x			5th science delta	science	5	492					5th science mmh	science	5								
minerals	576	238					4th math hm	math	4	126					4th math psf	math	4	368					5th math psf	math	5									179					4th science delta	science	4	140		x			4th science mmh	science	4	62					5th science delta	science	5	487					5th science mmh	science	5
misinterpreted	577	240					5th math hm	math	5																																																								
misleading	578	385					4th math psf	math	4	349					5th math hm	math	5																																																
mission	579	139	operational task				4th math psf	math	4																																																								
mission	580	310	building	x			4th math hm	math	4																																																								
missions	581	310	buildings	x			4th math hm	math	4																																																								
mix	582	411	noun--like a baking mix				4th math hm	math	4																																																								
mixed	583	27	adjective--with different sorts assembled together	x			5th math hm	math	5																																																								
mode	584	507	a descriptive statistic	x			4th math hm	math	4	471	a descriptive statistic	x			4th math psf	math	4	341	a descriptive statistic	x			5th math hm	math	5	473	a descriptive statistic	x			5th math psf	math	5																																
model	585	225	noun--a template or example				4th math psf	math	4	ksh12	noun--an example or template				5th math hm	math	5																	9		x			4th science mmh	science	4	3		x			5th science mmh	science	5																
model	586	54	to show				5th math hm	math	5	481	verb				4th math hm	math	4	82	verb				5th math psf	math	5									9		x			4th science mmh	science	4	3		x			5th science mmh	science	5																
models	587	38	representations of something--noun plural				4th math hm	math	4	44	noun plural				4th math psf	math	4	82	noun plural				5th math psf	math	5									9					4th science delta	science	4																								
multidigit	588	214					4th math hm	math	4	78					5th math psf	math	5																																																
multigrain	589	253					4th math hm	math	4																																																								
multiple	590	469	a larger number that can be evenly divided by a smaller number	x			5th math psf	math	5	128	a larger number that can be evenly divided by a smaller number	x			4th math hm	math	4	471	a larger number that can be evenly divided by a smaller number	x			4th math psf	math	4																																								
multiples	591	60	larger numbers that can be evenly divided by a smaller number				4th math psf	math	4																																																								
multiplication	592	472					4th math psf	math	4																																																								
multiplicative	593	473		x			5th math psf	math	5																																																								
multiplied	594	57					4th math psf	math	4	471					5th math psf	math	5																																																
multiplies	595	55					4th math psf	math	4																																																								
multiply	596	213		x			4th math hm	math	4	62					4th math psf	math	4	209		x			5th math hm	math	5																																								
multiplying	597	214					4th math hm	math	4	470					4th math psf	math	4																																																
